participant	condition	fac_1	fac_2	rating	item	context	f1_BAD_0auch_m	f2_BAD_1auch_f	f3_bad_0auch_f	f4_bad_1auch_m	f5_GOOD_1auch_f	f6_GOOD_1auch_m	f7_GOOD_0auch_m	f8_GOOD_1auch_f	f9_good_1auch_f	f10_good_1auch_m	f11_good_0auch_f	f12_good_1auch_m	f13_good_0auch_f	f14_good_1auch_m	f15_good_0auch_m	f16_good_1auch_f
457	cd1_ass_+n	ass	+n	1	1_cd1_ct01	ct01	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd1_ass_+n	ass	+n	1	37_cd1_ct10	ct10	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd2_ass_-n	ass	-n	1	30_cd2_ct08	ct08	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd2_ass_-n	ass	-n	1	58_cd2_ct15	ct15	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd3_com_+n	com	+n	6	23_cd3_ct06	ct06	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd3_com_+n	com	+n	5	51_cd3_ct13	ct13	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd4_com_-n	com	-n	5	16_cd4_ct04	ct04	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
457	cd4_com_-n	com	-n	6	44_cd4_ct11	ct11	6	6	1	1	5	5	5	5	6	6	6	1	6	1	4	4
464	cd1_ass_+n	ass	+n	5	5_cd1_ct02	ct02	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd1_ass_+n	ass	+n	5	33_cd1_ct09	ct09	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd2_ass_-n	ass	-n	5	26_cd2_ct07	ct07	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd2_ass_-n	ass	-n	2	62_cd2_ct16	ct16	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd3_com_+n	com	+n	5	19_cd3_ct05	ct05	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd3_com_+n	com	+n	1	55_cd3_ct14	ct14	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd4_com_-n	com	-n	2	12_cd4_ct03	ct03	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
464	cd4_com_-n	com	-n	5	48_cd4_ct12	ct12	4	5	1	1	6	6	6	6	6	6	6	6	6	6	6	6
481	cd1_ass_+n	ass	+n	1	21_cd1_ct06	ct06	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd1_ass_+n	ass	+n	1	49_cd1_ct13	ct13	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd2_ass_-n	ass	-n	1	14_cd2_ct04	ct04	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd2_ass_-n	ass	-n	1	42_cd2_ct11	ct11	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd3_com_+n	com	+n	6	7_cd3_ct02	ct02	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd3_com_+n	com	+n	6	35_cd3_ct09	ct09	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd4_com_-n	com	-n	6	28_cd4_ct07	ct07	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
481	cd4_com_-n	com	-n	6	64_cd4_ct16	ct16	6	6	2	2	6	6	6	6	6	6	6	2	6	6	6	6
490	cd1_ass_+n	ass	+n	1	17_cd1_ct05	ct05	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
490	cd1_ass_+n	ass	+n	1	53_cd1_ct14	ct14	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
490	cd2_ass_-n	ass	-n	1	10_cd2_ct03	ct03	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
490	cd2_ass_-n	ass	-n	1	46_cd2_ct12	ct12	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
490	cd3_com_+n	com	+n	5	3_cd3_ct01	ct01	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
490	cd3_com_+n	com	+n	1	39_cd3_ct10	ct10	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
490	cd4_com_-n	com	-n	3	32_cd4_ct08	ct08	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
